method,Internal_ID,Annotation_ID,Metabolite,MZ,Adduct,hmdbId,hmdbIdSpecificity,chebiId,pubChemId,smiles,inChI,inChIKey,chemicalFormula,adduct of formula,LinkedCompounds
C18P,Annotation__20240429__2-Methylguanosine__P5rFTC67,2-Methylguanosine,2-Methylguanosine,298.1145964,[M+H]+,HMDB0005862,1,CHEBI:19702,135501934,CNC1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,"InChI=1S/C11H15N5O5/c1-12-11-14-8-5(9(20)15-11)13-3-16(8)10-7(19)6(18)4(2-17)21-10/h3-4,6-7,10,17-19H,2H2,1H3,(H2,12,14,15,20)/t4-,6-,7-,10-/m1/s1",SLEHROROQDYRAW-KQYNXXCUSA-N,C11H15N5O5,[M],mxp1025
C18P,Annotation__20240429__2-Oxindole-3-acetate__avaeUDxZ,2-Oxindole-3-acetate,2-Oxindole-3-acetate,192.0655204,[M+H]+,HMDB0094657,1,,3080590,C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O,"InChI=1S/C10H9NO3/c12-9(13)5-7-6-3-1-2-4-8(6)11-10(7)14/h1-4,7H,5H2,(H,11,14)(H,12,13)",ILGMGHZPXRDCCS-UHFFFAOYSA-N,C10H9NO3,[M],mxp1218
C18P,Annotation__20240429__3-(Cystein-S-yl)acetaminophen__o3WA9Tq3,3-(Cystein-S-yl)acetaminophen,3-(Cystein-S-yl)acetaminophen,271.0747064,[M+H]+,HMDB0240217,1,,171264,CC(=O)NC1=CC(=C(C=C1)O)SC[C@@H](C(=O)O)N,"InChI=1S/C11H14N2O4S/c1-6(14)13-7-2-3-9(15)10(4-7)18-5-8(12)11(16)17/h2-4,8,15H,5,12H2,1H3,(H,13,14)(H,16,17)/t8-/m0/s1",LLHICPSCVFRWDT-QMMMGPOBSA-N,C11H14N2O4S,[M],mxp2331
C18P,"Annotation__20240429__3',5'cyclicAMP__imW34J88","3',5' cyclic AMP","3',5' cyclic AMP",330.0597994,[M+H]+,HMDB0000058,1,CHEBI:17489,6076,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",IVOMOUWHDPKRLL-KQYNXXCUSA-N,C10H12N5O6P,[M],mxp0020
C18P,"Annotation__20240429__3',5'cyclicGMP__vyP7ZE3y","3',5' cyclic GMP","3',5' cyclic GMP",346.0547144,[M+H]+,HMDB0001314,1,CHEBI:16356,135398570,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O,"InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-5(16)6-3(21-9)1-20-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1",ZOOGRGPOEVQQDX-UUOKFMHZSA-N,C10H12N5O7P,[M],mxp0239
C18P,Annotation__20240429__3-Dehydroxycarnitine__gqXKKsN9,3-Dehydroxycarnitine,3-Dehydroxycarnitine,146.1175554,[M+H]+,HMDB0001161,1,CHEBI:1941,725,C[N+](C)(C)CCCC(=O)[O-],"InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3",JHPNVNIEXXLNTR-UHFFFAOYSA-N,C7H15NO2,[M],mxp0191
C18P,Annotation__20240429__3-methylglutaconate__uuFpQuHh,3-methylglutaconate,3E-Methylglutaconic acid,127.0389714,[M-H2O+H]+,HMDB0000522,1,CHEBI:37245,1551553,C/C(=C\C(=O)O)/CC(=O)O,"InChI=1S/C6H8O4/c1-4(2-5(7)8)3-6(9)10/h2H,3H2,1H3,(H,7,8)(H,9,10)/b4-2+",WKRBKYFIJPGYQC-DUXPYHPUSA-N,C6H8O4,[M],mxp1289
C18P,Annotation__20240429__3-Hydroxyanthranilicacid__E5ypDFUK,3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid,154.0498704,[M+H]+,HMDB0001476,1,CHEBI:15793,86,C1=CC(=C(C(=C1)O)N)C(=O)O,"InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)",WJXSWCUQABXPFS-UHFFFAOYSA-N,C7H7NO3,[M],mxp0160
C18P,Annotation__20240429__3-Hydroxyhippuricacid__3QqJLBh8,3-Hydroxyhippuric acid,3-Hydroxyhippuric acid,196.0604354,[M+H]+,HMDB0006116,1,CHEBI:133607,450268,C1=CC(=CC(=C1)O)C(=O)NCC(=O)O,"InChI=1S/C9H9NO4/c11-7-3-1-2-6(4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",XDOFWFNMYJRHEW-UHFFFAOYSA-N,C9H9NO4,[M],mxp1260
C18P,Annotation__20240429__indole-3-propionate__y4ywH3pK,indole-3-propionate,3-Indolepropionic acid,190.0862554,[M+H]+,HMDB0002302,1,CHEBI:43580,3744,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,"InChI=1S/C11H11NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6H2,(H,13,14)",GOLXRNDWAUTYKT-UHFFFAOYSA-N,C11H11NO2,[M],mxp0098
C18P,Annotation__20240429__3-Methylhistidine__cCpjah9E,3-Methylhistidine,3-Methylhistidine,170.0924034,[M+H]+,HMDB0000479,1,CHEBI:27596,64969,CN1C=NC=C1C[C@@H](C(=O)O)N,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",JDHILDINMRGULE-LURJTMIESA-N,C7H11N3O2,[M],mxp0775
C18P,Annotation__20240429__4-Acetamidobutanoicacid__iR4gfH9c,4-Acetamidobutanoic acid,4-Acetamidobutanoic acid,146.0811704,[M+H]+,HMDB0003681,1,CHEBI:17645,18189,CC(=O)NCCCC(=O)O,"InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)",UZTFMUBKZQVKLK-UHFFFAOYSA-N,C6H11NO3,[M],mxp1212
C18P,Annotation__20240429__4-Hydroxyhippuricacid__ExBrsyr5,4-Hydroxyhippuric acid,4-Hydroxyhippuric acid,196.0604354,[M+H]+,HMDB0013678,1,CHEBI:71018,151012,C1=CC(=CC=C1C(=O)NCC(=O)O)O,"InChI=1S/C9H9NO4/c11-7-3-1-6(2-4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",ZMHLUFWWWPBTIU-UHFFFAOYSA-N,C9H9NO4,[M],mxp1067
C18P,Annotation__20240429__5-Acetylamino-6-formylamino-3-methyluracil__UGMutxVP,5-Acetylamino-6-formylamino-3-methyluracil,5-Acetylamino-6-formylamino-3-methyluracil,227.0774824,[M+H]+,HMDB0011105,1,CHEBI:32643,108214,CC(=O)NC1=C(NC(=O)N(C1=O)C)NC=O,"InChI=1S/C8H10N4O4/c1-4(14)10-5-6(9-3-13)11-8(16)12(2)7(5)15/h3H,1-2H3,(H,9,13)(H,10,14)(H,11,16)",RDZNZFGKEVDNPK-UHFFFAOYSA-N,C8H10N4O4,[M],mxp1385
C18P,Annotation__20240429__5-Hydroxydopamine__xCLyUKQT,5-Hydroxydopamine,5-Hydroxydopamine,170.0811704,[M+H]+,HMDB0004817,1,CHEBI:89485,114772,C1=C(C=C(C(=C1O)O)O)CCN,"InChI=1S/C8H11NO3/c9-2-1-5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,1-2,9H2",LCAINUZZHIZKKS-UHFFFAOYSA-N,C8H11NO3,[M],mxp1018
C18P,Annotation__20240429__5-Hydroxyindoleaceticacid__RkDNuWu6,5-Hydroxyindoleacetic acid,5-Hydroxyindoleacetic acid,192.0655204,[M+H]+,HMDB0000763,1,CHEBI:27823,1826,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)",DUUGKQCEGZLZNO-UHFFFAOYSA-N,C10H9NO3,[M],mxp0142
C18P,Annotation__20240429__5'-Methylthioadenosine__s8F2c85B,5'-Methylthioadenosine,5'-Methylthioadenosine,298.0968384,[M+H]+,HMDB0001173,1,CHEBI:17509,439176,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1",WUUGFSXJNOTRMR-IOSLPCCCSA-N,C11H15N5O3S,[M],mxp0258
C18P,"Annotation__20240429__6,8-Dihydroxypurine__WJCnaGpd","6,8-Dihydroxypurine","6,8-Dihydroxypurine",153.0407024,[M+H]+,HMDB0001182,1,,135414099,C1=NC2=C(C(=O)N1)NC(=O)N2,"InChI=1S/C5H4N4O2/c10-4-2-3(6-1-7-4)9-5(11)8-2/h1H,(H3,6,7,8,9,10,11)",BYUOBSUZYQAFJM-UHFFFAOYSA-N,C5H4N4O2,[M],mxp0888
C18P,Annotation__20240429__6-beta-hydrocortisol__2bbtquTo,6-beta-hydrocortisol,6-beta-hydrocortisol,379.2115164,[M+H]+,HMDB0061033,1,,10091061,C[C@]12CCC(=O)C=C1[C@@H](CC3C2[C@H](C[C@]4(C3CC[C@@]4(C(=O)CO)O)C)O)O,"InChI=1S/C21H30O6/c1-19-5-3-11(23)7-14(19)15(24)8-12-13-4-6-21(27,17(26)10-22)20(13,2)9-16(25)18(12)19/h7,12-13,15-16,18,22,24-25,27H,3-6,8-10H2,1-2H3/t12?,13?,15-,16+,18?,19+,20+,21+/m1/s1",GNFTWPCIRXSCQF-ZWJNAVLBSA-N,C21H30O6,[M],mxp2344
C18P,Annotation__20240429__7-Methyladenine__cwZKKZ2U,7-Methyladenine,7-Methyladenine,150.0774214,[M+H]+,HMDB0011614,1,CHEBI:28921,71593,CN1C=NC2=NC=NC(=C21)N,"InChI=1S/C6H7N5/c1-11-3-10-6-4(11)5(7)8-2-9-6/h2-3H,1H3,(H2,7,8,9)",HCGHYQLFMPXSDU-UHFFFAOYSA-N,C6H7N5,[M],mxp1541
C18P,Annotation__20240429__7-methylxanthine__VNCEJ29V,7-methylxanthine,7-Methylxanthine,167.0563524,[M+H]+,HMDB0001991,1,CHEBI:48991,68374,CN1C=NC2=C1C(=O)NC(=O)N2,"InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)",PFWLFWPASULGAN-UHFFFAOYSA-N,C6H6N4O2,[M],mxp1265
C18P,Annotation__20240429__Abacavir__9nCHXaXv,Abacavir,Abacavir,287.1614854,[M+H]+,HMDB0015182,1,CHEBI:421707,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,"InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/t8-,10+/m1/s1",MCGSCOLBFJQGHM-SCZZXKLOSA-N,C14H18N6O,[M],mxp1475
C18P,Annotation__20240429__Acetaminophen__REqRnk3r,Acetaminophen,Acetaminophen,152.0706054,[M+H]+,HMDB0001859,1,CHEBI:46195,1983,CC(=O)NC1=CC=C(C=C1)O,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,C8H9NO2,[M],mxp0939
C18P,Annotation__20240429__Acisoga__8ZR7ae3D,Acisoga,Acisoga,185.1284544,[M+H]+,HMDB0061384,1,,129397,CC(=O)NCCCN1CCCC1=O,"InChI=1S/C9H16N2O2/c1-8(12)10-5-3-7-11-6-2-4-9(11)13/h2-7H2,1H3,(H,10,12)",OAUYENAPBFTAQT-UHFFFAOYSA-N,C9H16N2O2,[M],mxp1702
C18P,Annotation__20240429__Allantoicacid__7nGFsT4w,Allantoic acid,Allantoic acid,177.0618324,[M+H]+,HMDB0001209,1,CHEBI:30837,203,C(C(=O)O)(NC(=O)N)NC(=O)N,"InChI=1S/C4H8N4O4/c5-3(11)7-1(2(9)10)8-4(6)12/h1H,(H,9,10)(H3,5,7,11)(H3,6,8,12)",NUCLJNSWZCHRKL-UHFFFAOYSA-N,C4H8N4O4,[M],mxp1571
C18P,Annotation__20240429__Alliin__HqL4MJFE,Alliin,Alliin,178.0532424,[M+H]+,HMDB0033592,1,,87310,C=CCS(=O)C[C@@H](C(=O)O)N,"InChI=1S/C6H11NO3S/c1-2-3-11(10)4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)/t5-,11?/m0/s1",XUHLIQGRKRUKPH-ITZCMCNPSA-N,C6H11NO3S,[M],mxp2327
C18P,Annotation__20240429__Allopurinol__dgUjL99R,Allopurinol,Allopurinol,137.0457874,[M+H]+,HMDB0014581,1,CHEBI:40279,135401907,C1=NNC2=C1C(=O)NC=N2,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)",OFCNXPDARWKPPY-UHFFFAOYSA-N,C5H4N4O,[M],mxp1213
C18P,Annotation__20240429__phenylacetylglutamine__PfXPBALb,phenylacetylglutamine,alpha-N-Phenylacetylglutamine,265.1182844,[M+H]+,HMDB0006344,1,CHEBI:17884,92258,C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O,"InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1",JFLIEFSWGNOPJJ-JTQLQIEISA-N,C13H16N2O4,[M],mxp1208
C18P,Annotation__20240429__Atenolol__9HFxuMNw,Atenolol,Atenolol,267.1703194,[M+H]+,HMDB0001924,1,CHEBI:2904,175540,CC(C)NC[C@@H](COC1=CC=C(C=C1)CC(=O)N)O,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)/t12-/m0/s1",METKIMKYRPQLGS-LBPRGKRZSA-N,C14H22N2O3,[M],mxp0235
C18P,Annotation__20240429__Biliverdin__oBS5E4RE,Biliverdin,Biliverdin,583.2551124,[M+H]+,HMDB0001008,1,CHEBI:17033,5280353,CC\1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/N/C1=C\C4=NC(=O)C(=C4C)C=C)CCC(=O)O,"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,34-35H,1-2,9-12H2,3-6H3,(H,37,42)(H,38,39)(H,40,41)/b24-13-,27-14-,28-15-",RCNSAJSGRJSBKK-NSQVQWHSSA-N,C33H34N4O6,[M],mxp1309
C18P,Annotation__20240429__Caffeine-d9__sLhXhB4n,Caffeine-d9,Caffeine-d9,204.1441454,[M+H]+,internal standard,,,13001304,[2H]C([2H])([2H])N1C=NC2=C1C(=O)N(C(=O)N2C([2H])([2H])[2H])C([2H])([2H])[2H],"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3/i1D3,2D3,3D3",RYYVLZVUVIJVGH-GQALSZNTSA-N,C8HD9N4O2,[M],mxp4284
C18P,Annotation__20240429__CAR100__JomsCr7e,CAR 10:0,CAR 10:0,316.2482354,[M+H]+,HMDB0000651,1,CHEBI:28717,11953821,CCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1",LZOSYCMHQXPBFU-OAHLLOKOSA-N,C17H33NO4,[M],mxp0211
C18P,Annotation__20240429__CAR100;OHA__AhhJKpLh,CAR 10:0;OH_A,CAR 10:0;OH_A,332.2431504,[M+H]+,HMDB0061636,2,,,,,,C17H33NO5,[M],mxp2270-sc
C18P,Annotation__20240429__CAR100;OHB__xaYN5hu6,CAR 10:0;OH_B,CAR 10:0;OH_B,332.2431504,[M+H]+,HMDB0061636,2,,,,,,C17H33NO5,[M],mxp2270-sc
C18P,Annotation__20240429__CAR101A__zFVj2M9J,CAR 10:1_A,CAR 10:1_A,314.2325854,[M+H]+,HMDB0013205,1,,53481651,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C,"InChI=1S/C17H31NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h5,15H,1,6-14H2,2-4H3",GOOOCIIXFLVRAG-UHFFFAOYSA-N,C17H31NO4,[M],mxp2295
C18P,Annotation__20240429__CAR101B__tkKZT5zz,CAR 10:1_B,CAR 10:1_B,314.2325854,[M+H]+,HMDB0013205,1,,53481651,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C,"InChI=1S/C17H31NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h5,15H,1,6-14H2,2-4H3",GOOOCIIXFLVRAG-UHFFFAOYSA-N,C17H31NO4,[M],mxp2295
C18P,Annotation__20240429__CAR101C__n45KJ6WR,CAR 10:1_C,CAR 10:1_C,314.2325854,[M+H]+,HMDB0013205,1,,53481651,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C,"InChI=1S/C17H31NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h5,15H,1,6-14H2,2-4H3",GOOOCIIXFLVRAG-UHFFFAOYSA-N,C17H31NO4,[M],mxp2295
C18P,Annotation__20240429__CAR101D__WMSvjoW4,CAR 10:1_D,CAR 10:1_D,314.2325854,[M+H]+,HMDB0013205,1,,53481651,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C,"InChI=1S/C17H31NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h5,15H,1,6-14H2,2-4H3",GOOOCIIXFLVRAG-UHFFFAOYSA-N,C17H31NO4,[M],mxp2295
C18P,Annotation__20240429__CAR102A__tcak6Sfo,CAR 10:2_A,CAR 10:2_A,312.2169354,[M+H]+,HMDB0013325,,CHEBI:73047,71464495,CCCCC/C=C\C=C\C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,"InChI=1S/C17H29NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h9-12,15H,5-8,13-14H2,1-4H3/b10-9-,12-11+",URTBCBICNCMCPB-XAZJVICWSA-N,C17H29NO4,[M],mxp0212
C18P,Annotation__20240429__CAR102B__MxDxJBWj,CAR 10:2_B,CAR 10:2_B,312.2169354,[M+H]+,HMDB0013325,,CHEBI:73047,71464495,CCCCC/C=C\C=C\C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,"InChI=1S/C17H29NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h9-12,15H,5-8,13-14H2,1-4H3/b10-9-,12-11+",URTBCBICNCMCPB-XAZJVICWSA-N,C17H29NO4,[M],mxp0212
C18P,Annotation__20240429__CAR103A__9jzCY5Ps,CAR 10:3_A,CAR 10:3_A,310.2012854,[M+H]+,HMDB0240752,2,,,,,,C17H27NO4,[M],mxp4087-sc
C18P,Annotation__20240429__CAR103B__NJBQx6zf,CAR 10:3_B,CAR 10:3_B,310.2012854,[M+H]+,HMDB0240752,2,,,,,,C17H27NO4,[M],mxp4087-sc
C18P,Annotation__20240429__CAR103C__rkb8K8YG,CAR 10:3_C,CAR 10:3_C,310.2012854,[M+H]+,HMDB0240752,2,,,,,,C17H27NO4,[M],mxp4087-sc
C18P,Annotation__20240429__CAR103D__DzZqLQre,CAR 10:3_D,CAR 10:3_D,310.2012854,[M+H]+,HMDB0240752,2,,,,,,C17H27NO4,[M],mxp4087-sc
C18P,Annotation__20240429__CAR120__EaQwPVrH,CAR 12:0,CAR 12:0,344.2795354,[M+H]+,HMDB0002250,1,CHEBI:77086,168381,CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",FUJLYHJROOYKRA-QGZVFWFLSA-N,C19H37NO4,[M],mxp0213
C18P,Annotation__20240429__CAR120;3OH__mPCdNnHZ,CAR 12:0;3OH,CAR 12:0;3OH,360.2744504,[M+H]+,,,,71464535,CCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O,"InChI=1S/C19H37NO5/c1-5-6-7-8-9-10-11-12-16(21)13-19(24)25-17(14-18(22)23)15-20(2,3)4/h16-17,21H,5-15H2,1-4H3",ULWDPUHFMOBGFJ-UHFFFAOYSA-N,C19H37NO5,[M],mxp4069
C18P,Annotation__20240429__CAR121A__nXzmCmgA,CAR 12:1_A,CAR 12:1_A,342.2638854,[M+H]+,HMDB0013326,,CHEBI:89717,53481671,CCCCCCCCC/C=C/C(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C,"InChI=1S/C19H35NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(20(2,3)4)15-16-18(21)22/h13-14,17H,5-12,15-16H2,1-4H3/b14-13+/t17-/m0/s1",JEOZLTJHDSKQIT-CLVCIHKQSA-N,C19H35NO4,[M],mxp0214
C18P,Annotation__20240429__CAR121B__3uBn3u3N,CAR 12:1_B,CAR 12:1_B,342.2638854,[M+H]+,HMDB0013326,,CHEBI:89717,53481671,CCCCCCCCC/C=C/C(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C,"InChI=1S/C19H35NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(20(2,3)4)15-16-18(21)22/h13-14,17H,5-12,15-16H2,1-4H3/b14-13+/t17-/m0/s1",JEOZLTJHDSKQIT-CLVCIHKQSA-N,C19H35NO4,[M],mxp0214
C18P,Annotation__20240429__CAR121C__fVfs2QXN,CAR 12:1_C,CAR 12:1_C,342.2638854,[M+H]+,HMDB0013326,,CHEBI:89717,53481671,CCCCCCCCC/C=C/C(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C,"InChI=1S/C19H35NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(20(2,3)4)15-16-18(21)22/h13-14,17H,5-12,15-16H2,1-4H3/b14-13+/t17-/m0/s1",JEOZLTJHDSKQIT-CLVCIHKQSA-N,C19H35NO4,[M],mxp0214
C18P,Annotation__20240429__CAR123__ukXK6kcc,CAR 12:3,CAR 12:3,338.2325854,[M+H]+,HMDB0241271,2,,,,,,C19H31NO4,[M],mxp4090-sc
